id,text
114,i kai ia kien siau kai i sing kau kie kin kong tong kuio io e pogian kig ho phan iau lia
115,i s tsit e tsin laou si ge sn sinu lahng
116,l si i tsite ua ho tai tsia a gua se tsit eh khg kian
117,kia a ka ti tsu iun shu lpi ah si kong tshtkua tshiu khue
118,leh ah khong a phin ia kam tsio iu huat tn kin thek keui put o
119,tsit lnoh
120,i ui tioh hi ang neh king leng kong ong o tshuan kah si ping kui si thau tsit tshu taigan ahng hi eh ua ki pkhin kng huian
121,ah nim m gua khuo lu silg ioh guaen ne
122,shau ki ah m khang na
123,tsio se ang leh iu a la ah e ti siang mi si tsun to an
124,bo lun tn si iah n tai ka ke sia sian ku ku amng sia ui ai e bu tshin tah ke long suiau
125,hau tin sianm meh kai tsi
126,gua hiong i suat gbing hit kian tai tsi
127,si tsun ho lan he lai liah siu khietsiaua
128,kag ha khi lai ahe u tahm toah i shi guan lai khuah logeh kguan in si tso sian mih kai tsi
129,ke lahng io khau e the pua lah siong u in
130,hu tsiah koang ng lai u tsian tse lang i hiah sng huok khm mang
131,li ko pim moa tsing tso ong ongiam eh si tsing tshu in tsu tong them mia tshamgsuan tsong thng me
132,na sitsau kango e kuah le tko si thong ko na si khi tiau kua le koh si phiah ko tse si kang khuan mo kah sai u tsuah kui han hut kio
133,gua kah ti lai tosaiah
134,un li gkuan ku khn hiong i khuam ina to sit king san tsapni iun bon a lau
135,tsan tsap hue ia koh tso sean a sio in tsiah png nma hio
136,hahmg khia lai king o tsit e suan hang siong han ko
137,kah lim pe iam laeh kong
138,iu un in tai han ki su ha n tsu sin kang ng h tso l au si
139,uo ua li khun lh tsioh sui tsiok ko tsui e iun tsogn le la beh ki tsi suarah tsau in a ki ui po le tu lai te
140,tseng se it tsit kui kahng lim mi huah kuahn lig mi huah ua kan e si kioh ma la ia
141,ui tsit e kak o khuan tsu tong gkisu tah phue ho ke o kui su tn sutiu e siu loe ang khe kiong tsit kua kin i
142,la sit ai kui eh kue ong
143,ti tshian gua bo ng pai to huan hue
144,hu nan bo kun ea
145,e khit i khuan naie
146,iau kiu khahoge sia hue tsing tshik
147,guoa kong li tsit eh kong mng kauah guang oahe leh a i kong mue mi tsin ma si sian hai toga
148,a pahani hah opai mn kan
149,i le u an koh kah lai tsu san tsiae tsng kha e un guan hue iha t sia hue gun ting tso sing thiau ts
150,sin ti tsh tsit i uo he tsa o in na in u ui ng iamg khiatshut oah tong hah khang king kue king kit e tshiu gsu tsiah kue pin
151,li tshiu n i khit lai su suan kah li pong huia
152,houh
153,i phue hu teh p teh
154,ti kit lun tso tsia kong oa anm aeu tianm si su iong su iong king tse au ua kau e li liong
155,i khuan gmui tsunh tsiah kuahu hinh kie tsit ma tsing khui tsia ba tai tsi guat kui tan ka u kau tai ah l
156,ah lin p ta hoga lah li tsa o kian uishia tsang ting uaun loh la
157,bo khuan khai kue sim
158,a tsi an i tsong tsosui
159,i thaug mng tshu tshiu te au khok ho a ia koh siun e kanang tshua su o
160,lan tsit tsun khat ok kang uain ng kiam puan tsing
161,aun k na bo o ihue ka khin tia leho ti biau khue tsiu ia ho u tiong sim kam kah an ne lua u
162,a
163,gun kian tshing ah sa no kanm me sai ho un tshi tshing
164,tsai kine hai gin a ah si huane thai ho na loh se thau hua ue khue khau phuah sun ua ko thi shua khuan kio ua e khikie o thue
165,gua e sing khuan la
166,in gui hue ka kian ian su iau huah liahu ki liau kue thing ho i khian ti it
167,tse puh tsu lah kgua m tsai to lo tih si kioh lhonh suo huah tsianse i n ne ka
168,hau tsing kong ui kioh pi sa le sian hio guan na sin na tha hon lan to m si to lei ho ah siu ian hiah iau hiaie siong kin
169,uh tsingn si an than i ti tsho ka suan ing 
170,tsin e kah i khuan kan koai si khi e tsi tso khah hong e iku sat k
171,gua e kah a kong tshua lai kh tsha tshia
172,m ha hah a
173,si ser sim kha kanm me tan tsha ti san tse tshiu ki a lai n
174, hang tsha lai t utsham ong kioh le ong bi tsin kau tsinm phang
175,ah tsui p a san ho ua san tsap pau khng an
176,siang kh tau kt tsi ki an tsi la a kinga kiah ho khui
177,hai tse ai tse
178,gua a ut lah ng tsit su
179,hongah inan i king tsiah liau ah kin a ji to kau tsian utsiuohan tsing i an ne ka ka k kon
180,lai khu mng leh
181,tsing ki s kain auah kah ke ki ihau ki si tsun pi ting ki tsin tsing ai sing tshuan kho ho tsia ka king ki tsig tsiau s si ai uikiam tsa iau tsiah lai ing ki
182,a keh
183,hinihiong sng tsho silia hang hun tahng ht tsho tsong u hit kag ksiong li pho si gue ang
184,kuae leh tsit sma lah
185,tsian meh kthulo e tsit khah hau
186,ah teh sin guah
187,tsung nuae ho uah tsiah
188,sia o huan ging min lah
189,kho lie kh sing guah eh lao 
190,tsi gua tsit kha su i ah ha kah tsuah
191,ong khai khai i si pu si tsai tsin au tsu ka kui to hang kong ko
192,ho gun ah
193,lhi si t tou i kit tioh sit tsiah angnh
194,an ne siu ka ue bo un t o hun kho ling ua un t
195,e ting ai e lah
196, kh tshit kioh lang e isu
197,am ea si eh khit ai pa ah siu beh ki tai ahm 
198,tain si
199,gua khuan tih ia
200,hahng koh ua i e in anh tsit lia tpsit kah gin ng lianh ng kah in sanlia tsi beng tsin uh hua e sian kh n tsit kuan kian uoa lang tsu
201,gua hit tai tshia tsui kin tsia ka s i khai ia tsua po uah ku
202,su hong le tang ai hio sm o ah si khi in thau lo e lang kong tain i
203,iau koh t lang ui kioh koh jin ne li ang hon sian beh lai sio tsi
204,tsisianmg guea 
205,hoh liong bo hua to tsun si si le
206,guah tin ti sun tai sing tshianmg kui ki tsing lang khian hun ging su ahu bo inh tiun
207,m sia ine ang guan tso khi lai man bo kai khuai lok lo pie keu kui sjie ing sang sen
208,aioh
209,sa hahie thahi lu i kiomg t khuia a khah t ue kioug sai hu lai uan
210,oue hai kuan tsn tsing u sui ah si ak khuan tshiau khue tsit a si s e t long ai ko tiau ui tah toh a ah si pange ui ki phin lie tshian tsu ong kan kiau e sai tsa ti sing khu k
211,li hue hu boang khit lai iuiug iu be sun lai gina l
212, thae s ua hiah be tsian tiohng e u lag po huan hi leh tuasian huah
213,a hah hah ah ksiong peah ts keah
214,ho kha tu jiu ho kut liu siu tioh se jh liau iau hinh
215,sna eh kau guan si tsit e
216,sion beh ho sekai kot khau ua m sin be ho kating koh khah hikng ho siu beh ho se mia koh khah tshiong s so i
217,tsiong tsing kho
218,le li siun khie khi lah
219,kong mong ng ku to pe khikha ang tshiua
220,li tioh ai khun khun ho pah
221,hong siun tin uah o se ji tsi kioh lie kho
222,lan tsap i tsing kah jip ka i h o mi e i kian khah gu khi su
223,huahn tso un hiong tsho tshu khan ting ki ai guan han tai su t san tsap jsji khi
224,tsit le ah si htpe
225,hai khuan hong kueh liau au tsiah khi hau khi sik sio ahn si kanenau u khah liong et tang khitsen su ke
226,mui tsit e lang log si to p be mui tsit e lahng long mu kah tie sing ua king giam kah ki si
227,gua
228,kin na jsit e king hun to huon kam e sai tshian li he gua ah tsitkua tong tshong an nai khn e ua ho po
229,in to si o ing e oh siahne ta ai long e au kaug i kian
230,i ko sia kong tong tso ha ti tsun se kai si khi khuang u kau ting i ko ong ue u sian
231,i tsa o sang kaiu tsun giamg ka tsi ma pu sian kak hua
232,in gui sianm o u a suah tsing ioh ang nmo ho hom kiau tshiae tshia thau khah o tsit e tsin giahm tio
233,lai tsia ai tuhanh
234,tiong ka m khiaug ho ko thi tshit en ku ke tse tasam hua lu
235,kioh sian mih mian
236,main an ne butai po tsi to ka lang hng
237,man hahn ne lah
238,eh kau thng hian ni bo hong pehn
239,li ha iah khaiau ki
240,hah kam m
241,hau kan guan tsu bin e ta g iong ka tie gu gi sia kong guang khah sit si tsuan ghing tsing gi koh tsai hua tsit tua o
242,u tsia lang ka i tsit ta ho tho hi i hiam siun tse thouah to kuan khi hing ho lang
243,sio kn noe ha tse long si k kinm un o siok ua tse
244,sau i tst tsap kau hoe sin ko ongsam m kin ni tsian gue siah king i tse i
245,guo ua sit lai
246,shiu ai the hit ing phue tsua hna tha mapk saian nan houk ti
247,in le ki le ahah khah o kgah
248,h san tso s hiohkhu
249,nag ng kong tsui khi sua loh lai kam ko e uhoang khai siong tsio ksi s o kang si o huani lah kuan tsiohg pg uh in ai si ng huan lo
250,hah kong na hi
251,a pu gua iam si san hoe in a ma bp hong sin
252,tsan e kam moah tah ksao li kh tsing ka
253,tuin tshun lai tshng ki s sian khuan in kiong tang e i sng le an tsuan
254,khgung mue tit sing king thang hi tshi
255,sun sun le
256,gu khuan e tshut lai gua siae tsoa un si to tsit kam o ho
257,hun honhou lah ah iau kuahe lan to e tsit su ho lah mai hau hoan kuai
258,ah li tsanm o kio gua khi ue tsit kua liau ua khit huan huh la
259,tin tsing kuikang gua kau tsing tshit e sia kiungn tr tsho tu ho ma sia un tsiun ki tshu tsit siong so hua u tsitn tse hong hiam au kuah bo huat to ing gsiong su khai e kat ko lai pon tsing i kok e li sim ts siong ua ma si tioh te pa ang tsit kha tshug
260,han tsing li tsim tsiu kah siau lean ke ohuan khuan l kah kongn siua lih li li tsan an poguai inga tsiah san li an tsinai
261,li lai kau kopio e kah lhahi
262,gu kah li khn thirme tshai kue po sitsan kau ho iong e lah na tsun kong i su iau hoan i tang u gua tsia theh ki a tn khielu khuan mai
263,hauh kie guan au hiah san a t gua a tshing e lue
264,hi lai tsiah png o
265,gkia i lai hoang hion
266,tsit an tsuan i tang huan e tsin e guan me iong tsit ah
267,tsin ma si guan tsu in tso gi ton ma mi lai khka gi ai i long ki hue
268,hian mnge te otsit khu e kong hua lan tai ki e an ne ko
269,li kang iau kohng g kithane hong huat lai tso tong siu huah
270,hai ang tai i un ha gue khan te tsit pah khong ji ki
271,suah oh ai lai siau kahi hue ing ki an tsuan st ti to siang mongn i hue ing kienm ng ng sang tso ang ti thag khah king kihu singi ki ian kha
272,gua tkhaine li so i tsiah tsian ni tshung ong
273,og sui a ai h
274,te tshie phain i king u sane tsu siu sanisi tsi ong bo kahng
275,in ia
276,kiam kiam ti pi a tso po su jin
277,tsio a pe u tsu humn au jin ie lang ai siau t hong tsa on ah m tsai him a ho loa muang kau
278,tsiong gia so kam sik po u si tong king i kiahp kiu tshu gu ki shu kai huai si kiah sing tha
279,hai i to kau ho lis sia kohon
280,shin ho ua koh lin k pua h bo
281,li kong le
282,m ben gua hiah n
283,oh 
284,sap pah ah tu liau au tshi ga kohu sian mih kit si
285,li ka sing uae iong sim khng ki to ui o tai tsi khang tsoe s li am me khang hi tsit e lang e s
286,tsit uan ho kah khan khong ka mih gu mih tsian ho loh huau
287,kgo tiam jm n su ts
288,thsit a pan ing li
289,hong mng tsian nian
290,so i shi kia kam ho jiong
291, sai tsi tsin ah si le sa
292,ts le u khiangn si e a i koh kah in ting se sing khu tsit pai phak ta liau au khth uat kau ka t ka tshiun sin rme kan khuan tsing tshah si tshui kah 
293,m khuang tshah 
294,i sianm mi si tsuo eh ng khit kai ah
295,thian kog gin a lahng kho ua khah au t
296,kong lai ah
297,sin lun t tshia kai sue tso tsia song kong lusing m si tshut si ko tsian tso lu si si hong kau hiok tso using eh tsit ku e i ham tsa hun
298,lan koh eng han kahn ni te i tsin toh hanin gua lah
299,siam meh lang kog u tshn ma khuani si
300,e ah lu tsia ka gu kai mgia ah ah i p ioh t tsioh a kau la
301,bo jin hoe kuan he
302,in ah lah si uan a kong khah tsah shiong ai khuan
303,ti e ko tsa si tshun en toung long e kah tsit leamg ua kah tsit thah khu an
304,e ah tsa lang kah kin ting khiana
305,li a oh kiam i san tsah hue a hon uah tsia kha huat i tsia
306,an e lin ah tsai ang kag khuai si tsit lia tsit ka in ng lia ng kah gi san lia tsiah ban tsin leh lahng an ne m
307,hau ka iau u tsot tse sia lian nang e an ki a hio tsa oau n ma
308,h o guan sio t e sing khk so i i in o r s hu so
309,tng kang sn khe huat tshut tsn sit kongi itking siun a li suat kong tm kohn ken n koh tsin sui
310,sin nin sin niu su tang tang kn ie ho hogh bu phuan khahng silong tue ah hang kguang kuahn kian sun tai kai tiong tsiong uan
311,hui i siau lo tshi tin tua pa khsa kit ua i siau hui tsu gi huoa ang tsi sia toh su iau ti mo iau e khai siau
312,lehn iong ing un kah ang ko thong e si tsun liong tshian e i su auh tshut tsit ku an ia tso e hong ing un ku m koh konging gie ang kho ling sa ong iau n mn
313,tsi pa koh tse kah en ing lai te ki tha ong khai e i kien u sio khan len
314,n
315,ki hua tui khong e bok kip ki st si po tsing i ka i tsiang a kok kae khuan li
316,hu gua kiung n koh tsin tshiu khuainton s ue si kau in nioug io e khu a ta hah tsit kiunu suat kong
317,i tsit le lau kaui kamgo hun
318,an si tr kian iah sing tshut hinan ang kuo e aupia e tsiah i gua e su bi thau tsing ma kho ling t tsia i gua e 
319,i kian kah bi si te suk su
320,iu tong khng se sin i ong ing sen sin li ma bun tong le tshue li tshian kau ke j kui tai sio an to sia
321,in taue tng hue longuan log k tsian kng 
322,tsiahn li ti ton tst sian liau au khai si lau ue toh sia
323,sit ti phahng lai te khu limu iau koh sio sio gi a lang un ai tsah
324,in lai ke iau n tsu
325,hie khi tua kua ha tsi ia o a khah ho
326,au gua koh li tsiau ho lang kh lah han
327,ai ga mg silah
328,tong siong hun hap hua huah koh lai khuan o tsiu
329,lai hang lahng o lo u hiong u gua hang e ong mua o khiah khia
330,nong e lahng shiah ni ho suah kian kau pue o ua khahitshin tshiun sho bguan phue tsing hun n tsiahn ni o
331,tse to so sing m na si kan ah siun khe huiong siungn kuan khuan li sumn khuan an a nia tsiah se lang khi kuan
332,long ho se hong ni eh khuan tso si sin tsng khuan tu ua tsing tshi khah o gli tsih kit e tiau hi
333,li lnang e ti hia si sisu su si te kongsian
334,iau khng mi tai hua uan e tsu liau kho ma khai si i tai uan tiong koa ting so tsai ken li
335,ma ma bo pe thian l
336,tsiun khuan anie khong khuanhnae me ah kah iun ah tsha i to
337,ah la a khah le kua
338,siong hiong u tsit e lang ka i u tsing sini mak tsiu ga kin han tjioh tsit e in tshiugn tsiok ae tsa o lang tsian ua sian kah huah
339,sah ung tsan ian m kioh a lah
340,guau khuan i
341,i k kui puan puao long khin bo thamg
342,i sing jiau kog u tsin hng e lo an
343,tsa ji ue a sia hua kam iau i
344,i ji tuhn sa khua la khuie hit tang tsun khui phian ang ki kika su
345,bi ko kah rman ma u ksiong tong li ik ti lu mang tsishie a lin ing
346,shan lai tsumn umang tsa ge khing lun an khima o i ing ui tsin s tai 
